,Major,Minor,ZipCode,DocumentDate,SalePrice,SqFtLot,SqFtTotLiving,Nuisances,Has_Nuisance,TrafficNoise,PowerLines,OtherNuisances,Is_WaterFrontLocation,WaterFrontLocation,Has_Porch,Has_OpenPorch,Has_EnclosedPorch,View_MtRainier,View_Olympics,View_Cascades,SeattleSkyline,View_PugetSound,View_LakeWashington,View_LakeSammamish,View_SmallLakeRiverCreek,BldgGrade,Has_Deck,Has_Finished_Basement,Has_Attached_Garage
229192,1300,1935,98108,2019-07-17,460000,5629,1400,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
887153,1300,2225,98108,2019-11-26,310000,4600,700,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0
756060,1600,90,98002,2019-07-03,300000,6690,1060,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0
219452,1600,540,98002,2019-07-22,305000,5620,1050,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0
301546,1600,566,98002,2019-09-05,275000,4200,840,Traffic Noise,1,1,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,4.0,0,0,0
519199,1600,76,98002,2019-10-23,360000,5964,1650,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,0,0
187871,1600,140,98002,2019-10-25,345000,4405,900,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0
492600,1600,580,98002,2019-12-02,383000,4400,1950,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,1,0
415519,1600,110,98002,2019-12-06,289950,4439,1020,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,1
242473,1600,485,98002,2019-12-17,374950,5667,1924,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0
123032,2350,450,98052,2019-03-12,659000,9800,2470,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,0,1,1
653804,2350,190,98052,2019-05-29,780000,11582,2470,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,1
823463,2350,150,98052,2019-08-06,904990,8750,2080,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,1
606776,2352,520,98052,2019-09-24,730000,9600,1780,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
376064,2352,780,98052,2019-11-26,940000,10000,2800,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,1,0
2484,3100,205,98040,2019-06-21,1045000,9860,1820,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,1
241529,3100,270,98040,2019-09-16,1325000,8736,3060,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,1
698586,3100,235,98040,2019-10-18,960000,8736,1640,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
267490,3400,1787,98136,2019-03-07,699950,5775,1240,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,1,0,0,0,6.0,0,0,0
309119,3400,1010,98136,2019-03-08,1479900,4000,3660,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,7.0,1,1,1
183713,3400,1860,98136,2019-07-22,640000,4320,1640,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,0,0
708084,3400,1190,98136,2019-10-07,950000,12379,1490,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,1,0,0,0,6.0,1,0,1
405459,3400,1005,98136,2019-06-06,1380000,4000,3660,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,7.0,1,1,1
976503,3400,1835,98136,2019-12-18,1270000,3574,2670,No Nuisances,0,0,0,0,0,None,0,0,0,0,2,0,0,2,0,0,0,7.0,1,1,0
828219,3700,581,98126,2019-03-06,525000,5346,1110,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,1,0,0
