,Major,Minor,PropType,SqFtLot,SalePrice,DocumentDate,NbrLivingUnits,SqFtTotLiving,Has_Porch,Nuisances,WaterFrontLocation,Is_WaterFrontLocation,Has_Nuisance
20852,724290,440,R,7270,714950,2019-12-03,1,4160,1,No Nuisances,None,0,0
20853,724350,85,R,4523,629950,2019-07-24,1,1520,1,Traffic Noise,None,0,1
20854,724350,55,R,10683,450000,2019-09-14,1,2280,0,Traffic Noise,None,0,1
20855,724350,290,R,7380,389000,2019-10-01,1,1450,1,No Nuisances,None,0,0
20856,724350,65,R,6233,547020,2019-12-16,1,2240,0,Traffic Noise,None,0,1
20857,724640,31,R,10230,495000,2019-08-12,1,2000,0,No Nuisances,None,0,0
20858,724640,26,R,10509,371000,2019-09-24,1,1570,0,Traffic Noise,None,0,1
20859,724640,21,R,10454,415000,2019-11-22,1,1280,1,Traffic Noise,None,0,1
20860,724800,6,R,17859,425000,2019-03-13,1,2510,1,No Nuisances,None,0,0
20861,725000,65,R,23512,450000,2019-10-24,1,800,0,Traffic Noise,None,0,1
20862,725400,70,R,2578,920000,2019-04-12,1,1730,1,Traffic Noise,None,0,1
20863,725420,48,R,807,595000,2019-04-21,1,1140,1,Traffic Noise,None,0,1
20864,725420,47,R,808,559000,2019-06-17,1,1060,1,Traffic Noise,None,0,1
20865,725420,35,R,2600,740000,2019-07-16,1,1660,1,No Nuisances,None,0,0
20866,725420,49,R,939,548650,2019-08-25,1,1140,1,Traffic Noise,None,0,1
20867,725420,50,R,945,555000,2019-09-28,1,1140,1,Traffic Noise,None,0,1
20868,725420,25,R,3000,305000,2019-10-25,1,1620,1,Traffic Noise,None,0,1
20869,725820,25,R,6598,425000,2019-06-02,1,2050,1,No Nuisances,None,0,0
20870,725820,40,R,8000,400000,2019-08-01,1,860,1,No Nuisances,None,0,0
20871,726220,65,R,7650,456000,2019-07-03,1,1490,0,No Nuisances,None,0,0
20872,726490,85,R,12012,860500,2019-05-08,1,2250,0,No Nuisances,None,0,0
20873,726620,160,R,3800,932500,2019-03-04,1,2490,0,Traffic Noise,None,0,1
20874,726620,77,R,2400,740000,2019-04-01,1,1530,0,Traffic Noise,None,0,1
20875,726620,155,R,3800,985000,2019-05-06,1,2190,0,Traffic Noise,None,0,1
20876,727200,136,R,10178,479900,2019-01-09,1,2576,0,No Nuisances,None,0,0
20877,727200,920,R,9542,400000,2019-03-05,1,2160,0,No Nuisances,None,0,0
20878,727200,1085,R,8887,425000,2019-03-21,1,1580,0,No Nuisances,None,0,0
20879,727200,1215,R,8187,343000,2019-05-09,1,1270,1,No Nuisances,None,0,0
20880,727200,125,R,10731,389750,2019-07-29,1,1370,1,No Nuisances,None,0,0
20881,727310,30,R,155566,1740000,2019-04-22,1,3320,0,No Nuisances,None,0,0
20882,727310,67,R,103237,850000,2019-09-03,1,1464,1,No Nuisances,None,0,0
20883,727310,26,R,53941,865000,2019-09-18,1,2390,1,No Nuisances,None,0,0
20884,727610,280,R,6000,566509,2019-03-19,1,1560,0,No Nuisances,None,0,0
20885,727610,25,R,30182,1465000,2019-03-27,1,1320,1,Traffic Noise,None,0,1
20886,727610,282,R,12000,799000,2019-07-12,1,2300,0,No Nuisances,None,0,0
20887,727710,590,R,7200,815000,2019-06-03,1,2040,1,No Nuisances,None,0,0
20888,727710,395,R,3600,829850,2019-10-01,1,2550,0,Traffic Noise,None,0,1
20889,727810,321,R,12692,1699999,2019-08-13,1,1450,1,Other Nuisances,Puget Sound,1,1
20890,727810,80,R,5400,835000,2019-10-23,1,2370,0,No Nuisances,None,0,0
20891,727870,139,R,9375,604000,2019-02-07,1,1790,0,Traffic Noise,None,0,1
20892,727870,260,R,9861,650000,2019-03-27,1,1420,0,No Nuisances,None,0,0
20893,727870,23,R,7200,2200000,2019-04-04,1,5610,1,No Nuisances,None,0,0
20894,727930,13,R,9000,3644,2019-04-17,1,4270,1,Other Nuisances,None,0,1
20895,727930,12,R,10000,4250,2019-04-24,1,1300,1,Other Nuisances,None,0,1
20896,727930,15,R,9240,550000,2019-06-25,1,1010,0,No Nuisances,None,0,0
20897,727930,133,R,8966,1040000,2019-08-26,1,3150,1,Traffic Noise,None,0,1
20898,728030,75,R,9470,565000,2019-01-25,2,1780,0,No Nuisances,None,0,0
20899,728030,275,R,7800,635000,2019-05-08,1,2200,0,Traffic Noise,None,0,1
20900,728030,420,R,7800,1475000,2019-05-20,1,3940,0,No Nuisances,None,0,0
20901,728030,276,R,7800,875000,2019-06-05,1,2820,0,Traffic Noise,None,0,1
20902,728030,196,R,7750,745000,2019-11-14,1,1980,0,No Nuisances,None,0,0
20903,728230,100,R,7000,652000,2019-02-01,1,1700,1,No Nuisances,None,0,0
20904,728390,304,R,2925,605000,2019-04-01,1,1910,0,Other Nuisances,None,0,1
20905,728390,71,R,7788,510000,2019-05-10,1,850,0,Traffic Noise,None,0,1
20906,728390,521,R,10269,535000,2019-05-13,1,1500,0,Other Nuisances,None,0,1
20907,728390,212,R,12500,582000,2019-05-16,1,1760,1,No Nuisances,None,0,0
20908,728390,239,R,10680,608000,2019-05-17,1,1460,0,No Nuisances,None,0,0
20909,728390,72,R,6600,766000,2019-07-17,1,2420,1,No Nuisances,None,0,0
20910,728390,223,R,7431,500000,2019-10-03,1,1270,0,No Nuisances,None,0,0
20911,728430,10,R,7345,1300000,2019-12-03,1,3410,1,No Nuisances,None,0,0
20912,728430,25,R,7404,9500000,2019-12-11,1,1160,0,Other Nuisances,None,0,1
20913,728490,205,R,7200,1300000,2019-07-05,1,2540,1,No Nuisances,None,0,0
20914,728490,460,R,7200,1148900,2019-08-21,1,3370,1,No Nuisances,None,0,0
20915,728490,80,R,5616,975000,2019-09-02,1,2570,0,No Nuisances,None,0,0
20916,728490,350,R,6573,850000,2019-10-18,1,2530,0,No Nuisances,None,0,0
20917,728490,250,R,7200,920000,2019-10-28,1,2020,0,No Nuisances,None,0,0
20918,728650,55,R,6465,845000,2019-06-07,1,2560,1,No Nuisances,None,0,0
20919,728650,54,R,5923,839950,2019-06-21,1,2560,1,No Nuisances,None,0,0
20920,728710,10,R,9400,551000,2019-02-08,1,1200,0,Traffic Noise,None,0,1
20921,728710,30,R,17983,495000,2019-04-11,1,1690,1,Traffic Noise,None,0,1
20922,728710,50,R,8224,655000,2019-10-07,1,2140,1,No Nuisances,None,0,0
